[INFO] 13:30:27:853 gameboy/(4273:4273): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:42:56:692 gameboy/(4664:4664): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:43:00:652 gameboy/(4669:4669): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:43:04:228 gameboy/(4674:4674): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:43:06:940 gameboy/(4679:4679): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:725 gameboy/(4731:4731): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:727 gameboy/(4733:4733): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:728 gameboy/(4735:4735): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:730 gameboy/(4737:4737): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:734 gameboy/(4739:4739): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:751 gameboy/(4741:4741): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:757 gameboy/(4743:4743): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:759 gameboy/(4745:4745): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:762 gameboy/(4747:4747): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:766 gameboy/(4749:4749): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:770 gameboy/(4751:4751): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:11:772 gameboy/(4753:4753): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:276 gameboy/(4759:4759): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:278 gameboy/(4761:4761): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:280 gameboy/(4763:4763): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:282 gameboy/(4765:4765): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:286 gameboy/(4767:4767): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:288 gameboy/(4769:4769): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:290 gameboy/(4771:4771): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:292 gameboy/(4773:4773): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:297 gameboy/(4775:4775): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:299 gameboy/(4777:4777): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:304 gameboy/(4779:4779): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:21:305 gameboy/(4781:4781): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:244 gameboy/(4787:4787): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:246 gameboy/(4789:4789): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:248 gameboy/(4791:4791): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

